id,stadt,land,region,kontinent,lat,lng,typ,schwierigkeit,streetview_link,kuratiert,status
45,Brasilia,Brasilien,Suedamerika,Suedamerika,-15.7975,-47.8919,P2,Mittel,,Nein,
46,Vancouver,Kanada,Nordamerika,Nordamerika,49.2827,-123.1207,P2,Mittel,,Nein,
47,Kigali,Ruanda,Afrika,Afrika,-1.9403,30.0595,P3,Schwer,,Nein,
48,Sofia,Bulgarien,EU,EU,42.6977,23.3219,P2,Mittel,,Nein,
49,Ho-Chi-Minh-Stadt,Vietnam,Asien,Asien,10.8231,106.6297,P2,Mittel,,Nein,
50,Amsterdam,Niederlande,EU,EU,52.3676,4.9041,P2,Mittel,,Nein,
51,Barcelona,Spanien,EU,EU,41.3851,2.1734,P1,Leicht,,Nein,
52,Wien,Oesterreich,EU,EU,48.2082,16.3738,P1,Leicht,,Nein,
53,Zuerich,Schweiz,EU,EU,47.3769,8.5417,P2,Mittel,,Nein,
54,Prag,Tschechien,EU,EU,50.0755,14.4378,P1,Leicht,,Nein,
55,Budapest,Ungarn,EU,EU,47.4979,19.0402,P2,Mittel,,Nein,
56,Warschau,Polen,EU,EU,52.2297,21.0122,P2,Mittel,,Nein,
57,Bukarest,Rumaenien,EU,EU,44.4268,26.1025,P2,Mittel,,Nein,
58,Belgrad,Serbien,EU,EU,44.7866,20.4489,P2,Mittel,,Nein,
59,Zagreb,Kroatien,EU,EU,45.8150,15.9819,P2,Mittel,,Nein,
60,Stockholm,Schweden,EU,EU,59.3293,18.0686,P2,Mittel,,Nein,
61,Riga,Lettland,EU,EU,56.9496,24.1052,P2,Mittel,,Nein,
62,Dublin,Irland,EU,EU,53.3498,-6.2603,P2,Mittel,,Nein,
63,Bruesel,Belgien,EU,EU,50.8503,4.3517,P2,Mittel,,Nein,
64,Lyon,Frankreich,EU,EU,45.7640,4.8357,P2,Mittel,,Nein,
65,Mailand,Italien,EU,EU,45.4642,9.1900,P1,Leicht,,Nein,
66,Muenchen,Deutschland,EU,EU,48.1351,11.5820,P1,Leicht,,Nein,
67,Hamburg,Deutschland,EU,EU,53.5511,9.9937,P2,Mittel,,Nein,
68,St. Petersburg,Russland,EU,EU,59.9343,30.3351,P2,Mittel,,Nein,
69,Shanghai,China,Asien,Asien,31.2304,121.4737,P2,Mittel,,Nein,
70,Beijing,China,Asien,Asien,39.9042,116.4074,P1,Leicht,,Nein,
71,Delhi,Indien,Asien,Asien,28.7041,77.1025,P2,Mittel,,Nein,
72,Kolkata,Indien,Asien,Asien,22.5726,88.3639,P2,Mittel,,Nein,
73,Chennai,Indien,Asien,Asien,13.0827,80.2707,P2,Mittel,,Nein,
74,Manila,Philippinen,Asien,Asien,14.5995,120.9842,P2,Mittel,,Nein,
75,Jakarta,Indonesien,Asien,Asien,-6.2088,106.8456,P2,Mittel,,Nein,
76,Kuala Lumpur,Malaysia,Asien,Asien,3.1390,101.6869,P2,Mittel,,Nein,
77,Phnom Penh,Kambodscha,Asien,Asien,11.5564,104.9282,P2,Mittel,,Nein,
78,Rangun,Myanmar,Asien,Asien,16.8661,96.1951,P3,Schwer,,Nein,
79,Dhaka,Bangladesch,Asien,Asien,23.8103,90.4125,P2,Mittel,,Nein,
80,Bagdad,Irak,Asien,Asien,33.3152,44.3661,P2,Mittel,,Nein,
81,Teheran,Iran,Asien,Asien,35.6892,51.3890,P2,Mittel,,Nein,
82,Riad,Saudi-Arabien,Asien,Asien,24.7136,46.6753,P2,Mittel,,Nein,
83,Amman,Jordanien,Asien,Asien,31.9454,35.9284,P2,Mittel,,Nein,
84,Beirut,Libanon,Asien,Asien,33.8938,35.5018,P2,Mittel,,Nein,
85,Antananarivo,Madagaskar,Afrika,Afrika,-18.8792,47.5079,P3,Schwer,,Nein,
86,Addis Abeba,Aethiopien,Afrika,Afrika,9.0250,38.7469,P2,Mittel,,Nein,
87,Dar es Salaam,Tansania,Afrika,Afrika,-6.7924,39.2083,P2,Mittel,,Nein,
88,Kinshasa,DR Kongo,Afrika,Afrika,-4.4419,15.2663,P3,Schwer,,Nein,
89,Luanda,Angola,Afrika,Afrika,-8.8390,13.2894,P3,Schwer,,Nein,
90,Abuja,Nigeria,Afrika,Afrika,9.0579,7.4951,P2,Mittel,,Nein,
91,Algier,Algerien,Afrika,Afrika,36.7538,3.0588,P2,Mittel,,Nein,
92,Tunis,Tunesien,Afrika,Afrika,36.8065,10.1815,P2,Mittel,,Nein,
93,Sao Paulo,Brasilien,Suedamerika,Suedamerika,-23.5505,-46.6333,P2,Mittel,,Nein,
94,Santiago,Chile,Suedamerika,Suedamerika,-33.4489,-70.6693,P2,Mittel,,Nein,
95,Medellin,Kolumbien,Suedamerika,Suedamerika,6.2442,-75.5812,P2,Mittel,,Nein,
96,Quito,Ecuador,Suedamerika,Suedamerika,-0.1807,-78.4678,P2,Mittel,,Nein,
97,Montevideo,Uruguay,Suedamerika,Suedamerika,-34.9011,-56.1645,P2,Mittel,,Nein,
98,Caracas,Venezuela,Suedamerika,Suedamerika,10.4806,-66.9036,P2,Mittel,,Nein,
99,Asuncion,Paraguay,Suedamerika,Suedamerika,-25.2637,-57.5759,P3,Schwer,,Nein,
100,Panama-Stadt,Panama,Nordamerika,Nordamerika,8.9824,-79.5199,P2,Mittel,,Nein,
